,Unnamed: 0,single session and sensor index,segment,STARTTIME,ENDTIME,seg duration,session,sensor,inside puff/puff duration,inside puff/segment duration,prototypical?,puff index,puff side,car percentage,talk percentage,unknown percentage,drinking percentage,reading percentage,eating percentage,smoking percentage,computer percentage,phone percentage,walking percentage,superposition percentage,name,target,prediction num,prediction name,prediction prob,smoking_pred_prob
0,,,0,2011-10-27 11:23:22,2011-10-27 11:24:11.475000,35.899999999999999,1,BFW,,0.07142857142857142,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031834460803820137,0.0,no-puff,0,0,no-puff,0.12714285714285717,3.059023205018258e-07
1,,,10,2011-10-27 11:24:07,2011-10-27 11:24:42.975000,35.899999999999999,1,BFW,,0.0,,,,0.0,0.0,0.12693991245523278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.14142857142857143,3.059023205018258e-07
2,,,17,2011-10-27 11:24:38.500000,2011-10-27 11:25:14.475000,35.899999999999999,1,BFW,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80103461997612413,0.0,0.0,no-puff,0,0,no-puff,0.1454761904761905,3.059023205018258e-07
3,,,24,2011-10-27 11:25:10,2011-10-27 11:25:45.975000,35.899999999999999,1,BFW,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47632311977715885,0.0,no-puff,0,0,no-puff,0.1385714285714286,3.059023205018258e-07
4,,,31,2011-10-27 11:25:41.500000,2011-10-27 11:26:17.475000,35.899999999999999,1,BFW,,0.0,,,,0.0,0.19816951850378037,0.0,0.0,0.0,0.0,0.0,0.0,0.80183048149621972,0.34938320732192601,0.0,no-puff,0,0,no-puff,0.1235714285714286,3.059023205018258e-07
5,,,38,2011-10-27 11:26:13,2011-10-27 11:26:48.975000,35.899999999999999,1,BFW,,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.10714285714285716,3.059023205018258e-07
6,,,45,2011-10-27 11:26:44.500000,2011-10-27 11:27:20.475000,35.899999999999999,1,BFW,,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.10523809523809526,3.059023205018258e-07
7,,,52,2011-10-27 11:27:16,2011-10-27 11:27:51.975000,35.899999999999999,1,BFW,,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41265419816951854,0.0,no-puff,0,0,no-puff,0.09928571428571431,3.059023205018258e-07
8,,,59,2011-10-27 11:27:47.500000,2011-10-27 11:28:23.475000,35.899999999999999,1,BFW,,0.07142857142857142,,,,0.0,0.54795065658575415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19816951850378037,0.0,no-puff,0,0,no-puff,0.125,3.059023205018258e-07
9,,,66,2011-10-27 11:28:19,2011-10-27 11:28:54.975000,35.899999999999999,1,BFW,,0.07142857142857142,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55590927178670912,0.0,no-puff,0,0,no-puff,0.13904761904761903,3.059023205018258e-07
10,,,73,2011-10-27 11:28:50.500000,2011-10-27 11:29:26.475000,35.899999999999999,1,BFW,,0.0,1.0,0.0,left-puff,0.0,0.0,0.0,0.57898925586947869,0.0,0.0,0.70592916832471153,0.0,0.0,0.0079586152009550343,0.57898925586947869,puff,1,0,no-puff,0.14666666666666664,3.059023205018258e-07
11,,,80,2011-10-27 11:29:22,2011-10-27 11:30:02.475000,35.899999999999999,1,BFW,,0.07142857142857142,1.0,2.0,left-puff,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,puff,1,0,no-puff,0.12666666666666668,3.059023205018258e-07
12,,,88,2011-10-27 11:29:58,2011-10-27 11:30:33.975000,35.899999999999999,1,BFW,,0.07142857142857142,1.0,4.0,right-puff,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no-puff,0,0,no-puff,0.12309523809523813,3.059023205018258e-07
13,,,95,2011-10-27 11:30:29.500000,2011-10-27 11:31:09.975000,35.899999999999999,1,BFW,,0.07142857142857142,0.0,5.0,right-puff,0.0,0.0,0.0,0.26223637087146839,0.0,0.0,1.0,0.0,0.73776362912853166,0.0,1.0,puff,1,0,no-puff,0.11976190476190479,3.059023205018258e-07
14,,,103,2011-10-27 11:31:05.500000,2011-10-27 11:31:41.475000,35.899999999999999,1,BFW,,0.0,1.0,6.0,right-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no-puff,0,0,no-puff,0.11571428571428573,3.059023205018258e-07
15,,,110,2011-10-27 11:31:37,2011-10-27 11:32:12.975000,35.899999999999999,1,BFW,,0.0,1.0,7.0,right-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,puff,1,0,no-puff,0.09642857142857143,3.059023205018258e-07
16,,,117,2011-10-27 11:32:08.500000,2011-10-27 11:32:44.475000,35.899999999999999,1,BFW,,0.07142857142857142,0.0,8.0,right-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no-puff,0,0,no-puff,0.12071428571428572,3.059023205018258e-07
17,,,124,2011-10-27 11:32:40,2011-10-27 11:33:20.475000,35.899999999999999,1,BFW,,0.0,1.0,9.0,right-puff,0.0,0.0,0.0,0.11102268205332273,0.0,0.0,1.0,0.0,0.88897731794667723,0.0,1.0,no-puff,0,0,no-puff,0.12023809523809526,3.059023205018258e-07
18,,,132,2011-10-27 11:33:16,2011-10-27 11:33:51.975000,35.899999999999999,1,BFW,,0.07142857142857142,1.0,10.0,right-puff,0.0,0.0,0.0,0.015917230401910069,0.0,0.0,1.0,0.0,0.98408276959808993,0.0,1.0,puff,1,0,no-puff,0.14690476190476195,3.059023205018258e-07
19,,,139,2011-10-27 11:33:47.500000,2011-10-27 11:34:23.475000,35.899999999999999,1,BFW,,0.0,1.0,11.0,right-puff,0.0,0.0,0.0,0.063668921607640275,0.0,0.0,1.0,0.0,0.93633107839235963,0.0,1.0,no-puff,0,0,no-puff,0.12095238095238099,3.059023205018258e-07
20,,,146,2011-10-27 11:34:19,2011-10-27 11:34:54.975000,35.899999999999999,1,BFW,,0.0,1.0,12.0,right-puff,0.0,0.0,0.0,0.031834460803820137,0.0,0.0,1.0,0.0,0.88141663350577004,0.0,0.91325109430959017,puff,1,0,no-puff,0.1273809523809524,3.059023205018258e-07
21,,,153,2011-10-27 11:34:50.500000,2011-10-27 11:35:26.475000,35.899999999999999,1,BFW,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.1135714285714286,3.059023205018258e-07
22,,,160,2011-10-27 11:35:22,2011-10-27 11:35:57.975000,35.899999999999999,1,BFW,,0.0,1.0,13.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,puff,1,0,no-puff,0.11476190476190479,3.059023205018258e-07
23,,,167,2011-10-27 11:35:53.500000,2011-10-27 11:36:38.475000,35.899999999999999,1,BFW,,0.0,1.0,15.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,puff,1,0,no-puff,0.11309523809523814,3.059023205018258e-07
24,,,176,2011-10-27 11:36:34,2011-10-27 11:37:27.975000,35.899999999999999,1,BFW,,0.0,1.0,16.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,puff,1,0,no-puff,0.12142857142857148,3.059023205018258e-07
25,,,187,2011-10-27 11:37:23.500000,2011-10-27 11:37:59.475000,35.899999999999999,1,BFW,,0.07142857142857142,1.0,18.0,left-puff,0.0,0.0,0.0,0.15877437325905294,0.0,0.0,1.0,0.0,0.0,0.0,0.15877437325905294,no-puff,0,0,no-puff,0.13500000000000004,3.059023205018258e-07
26,,,194,2011-10-27 11:37:55,2011-10-27 11:38:35.475000,35.899999999999999,1,BFW,,0.07142857142857142,1.0,18.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,puff,1,0,no-puff,0.13619047619047628,3.059023205018258e-07
27,,,202,2011-10-27 11:38:31,2011-10-27 11:39:06.975000,35.899999999999999,1,BFW,,0.21428571428571427,1.0,19.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,puff,1,0,no-puff,0.15619047619047624,3.059023205018258e-07
28,,,209,2011-10-27 11:39:02.500000,2011-10-27 11:39:38.475000,35.899999999999999,1,BFW,,0.07142857142857142,1.0,21.0,left-puff,0.0,0.0,0.0,0.2224432948666932,0.0,0.0,1.0,0.0,0.0,0.0,0.2224432948666932,puff,1,0,no-puff,0.15000000000000005,3.059023205018258e-07
