,Unnamed: 0,single session and sensor index,segment,STARTTIME,ENDTIME,seg duration,session,sensor,inside puff/puff duration,inside puff/segment duration,prototypical?,puff index,puff side,car percentage,talk percentage,unknown percentage,drinking percentage,reading percentage,eating percentage,smoking percentage,computer percentage,phone percentage,walking percentage,superposition percentage,name,target,prediction num,prediction name,prediction prob,smoking_pred_prob
0,,,0,2011-10-27 11:23:22,2011-10-27 11:24:00.475000,31.6875,1,BFW,,0.015625,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054887820512820512,0.0,no-puff,0,0,no-puff,0.07712630208333336,3.059023205018258e-07
1,,,76,2011-10-27 11:24:00,2011-10-27 11:24:32.975000,31.6875,1,BFW,,0.015625,,,,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07721484375000001,3.059023205018258e-07
2,,,141,2011-10-27 11:24:32.500000,2011-10-27 11:25:04.975000,31.6875,1,BFW,,0.0078125,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55448717948717952,0.0,0.0,no-puff,0,0,no-puff,0.07610590277777779,3.059023205018258e-07
3,,,205,2011-10-27 11:25:04.500000,2011-10-27 11:25:36.975000,31.6875,1,BFW,,0.0234375,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46875000000000006,0.0,no-puff,0,0,no-puff,0.07869184027777777,3.059023205018258e-07
4,,,269,2011-10-27 11:25:36.500000,2011-10-27 11:26:08.975000,31.6875,1,BFW,,0.03125,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30448717948717952,0.0,no-puff,0,0,no-puff,0.08276041666666667,3.059023205018258e-07
5,,,333,2011-10-27 11:26:08.500000,2011-10-27 11:26:40.975000,31.6875,1,BFW,,0.0078125,,,,0.0,0.99198717948717952,0.0,0.0,0.0,0.0,0.0,0.0,0.0080128205128205138,0.039262820512820512,0.0,no-puff,0,0,no-puff,0.0794509548611111,3.059023205018258e-07
6,,,397,2011-10-27 11:26:40.500000,2011-10-27 11:27:12.975000,31.6875,1,BFW,,0.0078125,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07433680555555555,3.059023205018258e-07
7,,,461,2011-10-27 11:27:12.500000,2011-10-27 11:27:44.975000,31.6875,1,BFW,,0.03125,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625000000000006,0.0,no-puff,0,0,no-puff,0.07371831597222223,3.059023205018258e-07
8,,,525,2011-10-27 11:27:44.500000,2011-10-27 11:28:16.975000,31.6875,1,BFW,,0.0078125,,,,0.0,0.69551282051282048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,no-puff,0,0,no-puff,0.07566102430555555,3.059023205018258e-07
9,,,589,2011-10-27 11:28:16.500000,2011-10-27 11:28:48.975000,31.6875,1,BFW,,0.0078125,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49198717948717952,0.0,no-puff,0,0,no-puff,0.07396961805555553,3.059023205018258e-07
10,,,653,2011-10-27 11:28:48.500000,2011-10-27 11:29:20.975000,31.6875,1,BFW,,0.03125,1.0,0.0,left-puff,0.0,0.0,0.0,0.46073717948717952,0.0,0.0,0.58573717948717952,0.0,0.0,0.070512820512820512,0.46073717948717952,no-puff,0,0,no-puff,0.07450911458333331,3.059023205018258e-07
11,,,717,2011-10-27 11:29:20.500000,2011-10-27 11:29:58.975000,31.6875,1,BFW,,0.0,1.0,1.0,left-puff,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,puff,1,0,no-puff,0.07673046875,3.059023205018258e-07
12,,,793,2011-10-27 11:29:58.500000,2011-10-27 11:30:35.475000,31.6875,1,BFW,,0.015625,1.0,4.0,right-puff,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no-puff,0,0,no-puff,0.0830078125,3.059023205018258e-07
13,,,866,2011-10-27 11:30:35,2011-10-27 11:31:08.975000,31.6875,1,BFW,,0.0078125,0.0,5.0,right-puff,0.0,0.0,0.0,0.14863782051282051,0.0,0.0,1.0,0.0,0.85136217948717952,0.0,1.0,no-puff,0,0,no-puff,0.07823220486111111,3.059023205018258e-07
14,,,933,2011-10-27 11:31:08.500000,2011-10-27 11:31:42.975000,31.6875,1,BFW,,0.0078125,1.0,6.0,right-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no-puff,0,0,no-puff,0.07757986111111109,3.059023205018258e-07
15,,,1001,2011-10-27 11:31:42.500000,2011-10-27 11:32:14.975000,31.6875,1,BFW,,0.0078125,1.0,7.0,right-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no-puff,0,0,no-puff,0.07614626736111109,3.059023205018258e-07
16,,,1065,2011-10-27 11:32:14.500000,2011-10-27 11:32:47.475000,31.6875,1,BFW,,0.0078125,1.0,9.0,right-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no-puff,0,0,no-puff,0.07529513888888889,3.059023205018258e-07
17,,,1130,2011-10-27 11:32:47,2011-10-27 11:33:20.975000,31.6875,1,BFW,,0.03125,,,,0.0,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.875,0.0,1.0,no-puff,0,0,no-puff,0.07579166666666666,3.059023205018258e-07
18,,,1197,2011-10-27 11:33:20.500000,2011-10-27 11:33:53.975000,31.6875,1,BFW,,0.0234375,1.0,10.0,right-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no-puff,0,0,no-puff,0.07978645833333335,3.059023205018258e-07
19,,,1263,2011-10-27 11:33:53.500000,2011-10-27 11:34:26.975000,31.6875,1,BFW,,0.0078125,1.0,11.0,right-puff,0.0,0.0,0.0,0.0625,0.0,0.0,1.0,0.0,0.9375,0.0,1.0,no-puff,0,0,no-puff,0.07605598958333334,3.059023205018258e-07
20,,,1329,2011-10-27 11:34:26.500000,2011-10-27 11:34:59.975000,31.6875,1,BFW,,0.015625,1.0,12.0,right-puff,0.0,0.0,0.0,0.03125,0.0,0.0,1.0,0.0,0.66426282051282048,0.0,0.69551282051282048,no-puff,0,0,no-puff,0.07644140625000001,3.059023205018258e-07
21,,,1395,2011-10-27 11:34:59.500000,2011-10-27 11:35:32.475000,31.6875,1,BFW,,0.015625,1.0,13.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07532986111111112,3.059023205018258e-07
22,,,1460,2011-10-27 11:35:32,2011-10-27 11:36:05.975000,31.6875,1,BFW,,0.0078125,1.0,13.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.077140625,3.059023205018258e-07
23,,,1527,2011-10-27 11:36:05.500000,2011-10-27 11:36:47.475000,31.6875,1,BFW,,0.0,1.0,15.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07498263888888891,3.059023205018258e-07
24,,,1610,2011-10-27 11:36:47,2011-10-27 11:37:23.475000,31.6875,1,BFW,,0.0078125,1.0,17.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07030121527777779,3.059023205018258e-07
25,,,1683,2011-10-27 11:37:23.500000,2011-10-27 11:37:58.475000,31.6875,1,BFW,,0.0,1.0,18.0,left-puff,0.0,0.0,0.0,0.15625,0.0,0.0,1.0,0.0,0.0,0.0,0.15625,no-puff,0,0,no-puff,0.07144184027777782,3.059023205018258e-07
26,,,1752,2011-10-27 11:37:58,2011-10-27 11:38:33.475000,31.6875,1,BFW,,0.0078125,1.0,18.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07000651041666668,3.059023205018258e-07
27,,,1822,2011-10-27 11:38:33,2011-10-27 11:39:08.475000,31.6875,1,BFW,,0.0234375,1.0,20.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.0737404513888889,3.059023205018258e-07
28,,,1893,2011-10-27 11:39:08.500000,2011-10-27 11:39:45.975000,31.6875,1,BFW,,0.0078125,1.0,21.0,left-puff,0.0,0.0,0.0,0.21875,0.0,0.0,1.0,0.0,0.0,0.0,0.21875,no-puff,0,0,no-puff,0.07443880208333334,3.059023205018258e-07
29,,,1967,2011-10-27 11:39:45.500000,2011-10-27 11:40:17.975000,31.6875,1,BFW,,0.0234375,0.0,23.0,left-puff,0.0,0.0,0.0,0.0,0.0,0.0,0.28926282051282054,0.0,0.0,0.55448717948717952,0.0,no-puff,0,0,no-puff,0.08167664930555557,3.059023205018258e-07
30,,,2031,2011-10-27 11:40:17.500000,2011-10-27 11:40:49.975000,31.6875,1,BFW,,0.0,,,,0.0,0.0,0.33573717948717952,0.0,0.0,0.0,0.0,0.0,0.0,0.38301282051282054,0.0,no-puff,0,0,no-puff,0.0771861979166667,3.059023205018258e-07
31,,,2095,2011-10-27 11:40:49.500000,2011-10-27 11:41:21.975000,31.6875,1,BFW,,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07904253472222227,3.059023205018258e-07
32,,,2159,2011-10-27 11:41:21.500000,2011-10-27 11:41:53.975000,31.6875,1,BFW,,0.015625,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71073717948717952,0.0,no-puff,0,0,no-puff,0.07438671875000004,3.059023205018258e-07
33,,,2223,2011-10-27 11:41:53.500000,2011-10-27 11:42:25.975000,31.6875,1,BFW,,0.0078125,,,,0.0,0.0,0.35176282051282054,0.0,0.0,0.39823717948717952,0.0,0.0,0.0,0.28926282051282054,0.0,no-puff,0,0,no-puff,0.07395789930555557,3.059023205018258e-07
34,,,2287,2011-10-27 11:42:25.500000,2011-10-27 11:42:57.975000,31.6875,1,BFW,,0.015625,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.0752855902777778,3.059023205018258e-07
35,,,2351,2011-10-27 11:42:57.500000,2011-10-27 11:43:29.975000,31.6875,1,BFW,,0.015625,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.08061458333333336,3.059023205018258e-07
36,,,2415,2011-10-27 11:43:29.500000,2011-10-27 11:44:02.475000,31.6875,1,BFW,,0.015625,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.08358723958333336,3.059023205018258e-07
37,,,2480,2011-10-27 11:44:02,2011-10-27 11:44:34.475000,31.6875,1,BFW,,0.0078125,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07851388888888892,3.059023205018258e-07
38,,,2544,2011-10-27 11:44:34,2011-10-27 11:45:06.475000,31.6875,1,BFW,,0.015625,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07406597222222225,3.059023205018258e-07
39,,,2608,2011-10-27 11:45:06,2011-10-27 11:45:38.975000,31.6875,1,BFW,,0.0078125,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.06938802083333336,3.059023205018258e-07
40,,,2673,2011-10-27 11:45:38.500000,2011-10-27 11:46:11.475000,31.6875,1,BFW,,0.0234375,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07042578125000004,3.059023205018258e-07
41,,,2738,2011-10-27 11:46:11,2011-10-27 11:46:43.475000,31.6875,1,BFW,,0.0078125,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.06928732638888895,3.059023205018258e-07
42,,,2802,2011-10-27 11:46:43,2011-10-27 11:47:15.475000,31.6875,1,BFW,,0.015625,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07034722222222228,3.059023205018258e-07
43,,,2866,2011-10-27 11:47:15,2011-10-27 11:47:47.475000,31.6875,1,BFW,,0.0078125,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.07441796875000005,3.059023205018258e-07
44,,,2930,2011-10-27 11:47:47,2011-10-27 11:48:19.475000,31.6875,1,BFW,,0.03125,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.08303906250000002,3.059023205018258e-07
45,,,2994,2011-10-27 11:48:19,2011-10-27 11:48:51.975000,31.6875,1,BFW,,0.0234375,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.08936111111111113,3.059023205018258e-07
46,,,3059,2011-10-27 11:48:51.500000,2011-10-27 11:49:23.975000,31.6875,1,BFW,,0.03125,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no-puff,0,0,no-puff,0.09142274305555557,3.059023205018258e-07
