session,interpuff interval
1, 4
1, 17
1, 9
1, 23.5
1, 29
1, 11.5
1, 33
1, 17.5
1, 29.5
1, 37.75
1, 41.75
1, 11
1, 58.25
1, 9.5
1, 21.25
1, 19.25
1, 39.25
1, 36.25
1, 28.25
1, 18.25
1, 22.25
1, 8.5
1, 16.5
1, 9
1, 14
1, 12.25
1, 47.5
1, 48
1, 25.5
1, 0.5
1, 185
1, 17
1, 16.75
1, 13.25
1, 14.75
1, 44.5
1, 30.5
1, 30
1, 10
1, 28.5
1, 30.75
1, 31.25
1, 26.5
1, 43.5
1, 90.75
1, 31.25
1, 1
1, 15.5
1, 48.5
1, 33.75
1, 9
1, 170.5
1, 47.25
1, 98.25
1, 124
1, 91.25
1, 43.5
1, 24.75
1, 36
1, 31.5
1, 100.75
1, 30.5
1, 21.5
1, 59
1, 1.5
1, 27
1, 55
1, 48.5
1, 57.75
1, 57.5
1, 101.5
1, 45.5
1, 238.75
1, 4.75
1, 0.5
1, 23.75
1, 13.5
1, 89
1, 64.5
1, 1.5
1, 23.5
1, 149.5
1, 14.75
1, 16.5
1, 8.5
1, 15.5
1, 23
1, 18.5
1, 24.5
1, 20.5
1, 18.75
1, 30
1, 21.5
1, 27.5
3, 100.5
3, 53
3, 24
3, 151.5
3, 12.5
3, 71.5
3, 23
3, 34.75
3, 20
3, 46.75
3, 51.75
3, 67.75
3, 23
3, 35.5
3, 19
3, 21.25
3, 9
3, 12.25
3, 14.75
3, 21.25
3, 48.5
3, 46.75
3, 20
3, 50
3, 8
3, 29
3, 9
3, 15
3, 58
3, 17
3, 12.5
3, 10
3, 5.5
3, 30
3, 13
3, 30
3, 20.25
3, 18
3, 25.25
3, 10.25
3, 33
3, 83.25
3, 7
3, 11.5
3, 14.5
3, 8.5
3, 8.5
3, 18
3, 18
4, 8.25
4, 37
4, 27
4, 59.25
4, 65
4, 35
4, 32.5
4, 73
4, 11.5
4, 14.5
4, 7.5
4, 42
4, 33
4, 135.5
4, 4.75
4, 36.5
4, 23.5
4, 15.25
4, 31
4, 46.25
4, 3.75
4, 16
4, 27.5
4, 16.5
4, 23.25
4, 11.5
4, 38
4, 34.5
4, 3
4, 16.5
4, 26.25
4, 22
4, 16.5
4, 15.75
4, 8.75
4, 19.25
4, 2
4, 4.25
4, 31
4, 13.5
4, 10.75
4, 36.5
4, 16.5
4, 20.5
4, 79
4, 33
4, 28.5
4, 14
4, 48
4, 42.5
5, 10.5
5, 9.25
5, 10
5, 36
5, 28
5, 37.25
5, 34.75
5, 21.5
5, 75.5
5, 28.5
5, 30
5, 19
5, 30.5
5, 9.5
5, 19.75
5, 77
5, 38.25
5, 26.75
5, 39.5
5, 134.25
5, 24
5, 16
5, 33
5, 104.25
5, 96.5
5, 65
5, 36
5, 27.75
5, 144.5
5, 31.25
5, 86
5, 15.5
5, 26.5
5, 13.75
5, 25.5
5, 65.5
5, 58.5
5, 17
5, 58.5
5, 17.5
5, 15.5
5, 1.5
5, 21.5
5, 7.5
5, 0.5
5, 31
5, 52.5
5, 90.75
5, 56.5
5, 86
5, 8
6, 16
6, 36.5
6, 27
6, 19
6, 53
6, 19.5
6, 28.5
6, 25
6, 39.5
6, 11
6, 13.5
6, 95.5
6, 56.5
6, 22.5
6, 65
6, 28.5
6, 33.25
6, 35
6, 22.5
6, 22.5
6, 21.5
6, 92.5
6, 63.5
6, 33
6, 35.5
6, 7
6, 20
6, 15.5
6, 53.5
6, 18.5
6, 14
6, 53.5
7, 25.5
7, 10
7, 28
7, 37
7, 13.5
7, 7
7, 27.25
7, 9.5
7, 2
7, 21.5
7, 67
7, 16
7, 40
7, 34.75
7, 65
7, 40.5
7, 17
7, 8.5
7, 22.5
7, 21.5
7, 31.5
7, 15
7, 21.75
7, 30
7, 2.5
7, 24.75
7, 32
7, 16
7, 36
7, 12.75
7, 18.5
7, 42
7, 17
7, 9.5
7, 65
7, 13.75
7, 21.5
7, 97.75
7, 133.25
7, 17.5
7, 4.5
7, 7.5
7, 30.75
7, 29
7, 8.5
7, 72.5
7, 9.75
7, 9
7, 84.5
7, 155.5
7, 37.75
7, 22.5
